metadata_colname,metadata_colname_long,metadata_units,metadata_datatype,metadata_colname_desc
year,Year,year,"NUMBER(10,0)",Year the survey was conducted in.
srvy,Survey,text abbreviated,VARCHAR2(255 BYTE),"Abbreviated survey names. The column 'srvy' is associated with the 'survey' and 'survey_id' columns. Northern Bering Sea (NBS), Southeastern Bering Sea (EBS), Bering Sea Slope (BSS), Gulf of Alaska (GOA), Aleutian Islands (AI)."
survey,Survey Name,text,VARCHAR2(255 BYTE),Name and description of survey. The column 'survey' is associated with the 'srvy' and 'survey_id' columns.
survey_definition_id,Survey ID,ID code,"NUMBER(38,0)","This number uniquely identifies a survey. Name and description of survey. The column 'survey_id' is associated with the 'srvy' and 'survey' columns. For a complete list of surveys, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual). "
survey_id,Survey ID,ID code,"NUMBER(38,0)","This number uniquely identifies a survey. Name and description of survey. The column 'survey_id' is associated with the 'srvy' and 'survey' columns. For a complete list of surveys, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual). "
cruise,Cruise ID,ID code,"NUMBER(38,0)","This is a six-digit number identifying the cruise number of the form: YYYY99 (where YYYY = year of the cruise; 99 = 2-digit number and is sequential; 01 denotes the first cruise that vessel made in this year, 02 is the second, etc.)."
haul,Haul Number,ID code,"NUMBER(38,0)","This number uniquely identifies a sampling event (haul) within a cruise. It is a sequential number, in chronological order of occurrence."
hauljoin,Haul ID,ID code,"NUMBER(38,0)","This is a unique numeric identifier assigned to each (vessel, cruise, and haul) combination."
stratum,Stratum ID,ID code,VARCHAR2(255 BYTE),RACE database statistical area for analyzing data. Strata were designed using bathymetry and other geographic and habitat-related elements. The strata are unique to each survey series. Stratum of value 0 indicates experimental tows.
station,Station ID,ID code,VARCHAR2(255 BYTE),Alpha-numeric designation for the station established in the design of a survey.
vessel_id,Vessel ID,ID code,"NUMBER(38,0)","ID number of the vessel used to collect data for that haul. The column 'vessel_id' is associated with the 'vessel_name' column. Note that it is possible for a vessel to have a new name but the same vessel id number. For a complete list of vessel ID codes, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
vessel_name,Vessel Name,text,VARCHAR2(255 BYTE),"Name of the vessel used to collect data for that haul. The column 'vessel_name' is associated with the 'vessel_id' column. Note that it is possible for a vessel to have a new name but the same vessel id number. For a complete list of vessel ID codes, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual). "
date_time,Date and Time of Haul,MM/DD/YYYY HH::MM,DATE,The date (MM/DD/YYYY) and time (HH:MM) of the beginning of the haul.
longitude_dd_start,Start Longitude (decimal degrees),decimal degrees,"NUMBER(38,6)",Longitude (one hundred thousandth of a decimal degree) of the start of the haul.
latitude_dd_start,Start Latitude (decimal degrees),decimal degrees,"NUMBER(38,6)",Latitude (one hundred thousandth of a decimal degree) of the start of the haul.
longitude_dd_end,End Longitude (decimal degrees),decimal degrees,"NUMBER(38,6)",Longitude (one hundred thousandth of a decimal degree) of the end of the haul.
latitude_dd_end,End Latitude (decimal degrees),decimal degrees,"NUMBER(38,6)",Latitude (one hundred thousandth of a decimal degree) of the end of the haul.
species_code,Taxon Code,ID code,"NUMBER(38,0)","The species code of the organism associated with the 'common_name' and 'scientific_name' columns. For a complete species list, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual). "
common_name,Taxon Common Name,text,VARCHAR2(255 BYTE),"The common name of the marine organism associated with the 'scientific_name' and 'species_code' columns. For a complete species list, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual). "
scientific_name,Taxon Scientific Name,text,VARCHAR2(255 BYTE),"The scientific name of the organism associated with the 'common_name' and 'species_code' columns. For a complete taxon list, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual). "
taxon_confidence,Taxon Confidence Rating,category,VARCHAR2(255 BYTE),"Confidence in the ability of the survey team to correctly identify the taxon to the specified level, based solely on identification skill (e.g., not likelihood of a taxon being caught at that station on a location-by-location basis). Quality codes follow: **'High'**: High confidence and consistency. Taxonomy is stable and reliable at this level, and field identification characteristics are well known and reliable. **'Moderate'**: Moderate confidence. Taxonomy may be questionable at this level, or field identification characteristics may be variable and difficult to assess consistently. **'Low'**: Low confidence. Taxonomy is incompletely known, or reliable field identification characteristics are unknown. Documentation: [Species identification confidence in the eastern Bering Sea shelf survey (1982-2008)](http://apps-afsc.fisheries.noaa.gov/Publications/ProcRpt/PR2009-04.pdf), [Species identification confidence in the eastern Bering Sea slope survey (1976-2010)](http://apps-afsc.fisheries.noaa.gov/Publications/ProcRpt/PR2014-05.pdf), and [Species identification confidence in the Gulf of Alaska and Aleutian Islands surveys (1980-2011)](http://apps-afsc.fisheries.noaa.gov/Publications/ProcRpt/PR2014-01.pdf). "
