"","TABLE_NAME","COMMENTS","schema"
"1","LOAD_USER_DATA_TABLES","Foreign Key on the CRUISES table.  Identifies the cruise a record in this table is associated with.  A CRUISE_ID identifies a vessel that has participated in a specific survey.  The CRUISE_ID is used to identify data collected on board that vessel, during that survey.","RACE_DATA"
"2","LOAD_USER_DATA_TABLES","Foreign Key value that identifies the vessel the data in user table represented in this table record belongs to.  References column VESSELS.VESSEL_ID.","RACE_DATA"
"3","V_CRUISES","Foreign Key on the CRUISES table.  Identifies the cruise a record in this table is associated with.  A CRUISE_ID identifies a vessel that has participated in a specific survey.  The CRUISE_ID is used to identify data collected on board that vessel, during that survey.","RACE_DATA"
"4","V_CRUISE_LEGS","Foreign Key on the CRUISES table.  Identifies the cruise a record in this table is associated with.  A CRUISE_ID identifies a vessel that has participated in a specific survey.  The CRUISE_ID is used to identify data collected on board that vessel, during that survey.","RACE_DATA"
"5","CATCH","Domain: Groundfish Species Codebook;  http://www.afsc.noaa.gov/RACE/groundfish/species_codebook.pdf","RACEBASE"
"6","CATCH","Domain: Groundfish Survey Codebook: Vessel Codes
http://www.afsc.noaa.gov/RACE/groundfish/Groundfish_Survey_Codes.pdf","RACEBASE"
"7","CATCH","Kilogram (kg).  This value is the weight, to nearest thousandth of a kg,  for each species in the catch.","RACEBASE"
"8","CATCH","Reference number given to specimens that are collected and preserved for taxonomic identification purposes.  These are assigned sequentially beginning with 1 and re-initiated for each haul","RACEBASE"
"9","CATCH","This is a six-digit number identifying the Cruise number of the form: YYYY99 (where YYYY = year of the cruise; 99 = 2-digit number and is sequential; 01 denotes the first cruise that vessel made in this year, 02 is the second, etc.","RACEBASE"
"10","CATCH","This is a unique numeric identifier assigned to each (VESSEL, CRUISE, HAUL) combination","RACEBASE"
"11","CATCH","This is a unique numeric identifier assigned to each (VESSEL, CRUISE, HAUL, SPECIES_CODE) combination","RACEBASE"
"12","CATCH","This is a unique numeric identifier assigned to each VESSEL, CRUISE) combination","RACEBASE"
"13","CATCH","This is a unique numeric identifier for each record.  It is used to track changes made to the original record by locating a corresponding record in the RACE_DATA.audit tables with the same numeric identifier.","RACEBASE"
"14","CATCH","This number uniquely identifies a haul within a cruise.  It is a sequential number, in chronological order of occurrence.","RACEBASE"
"15","CATCH","Unused attribute","RACEBASE"
"16","CATCH","Valid Values: AI=Aleutian Islands, BS=Bering Sea, GOA=Gulf of Alaska, WC=West Coast,HBS=Hydroacoustic Bering Sea, HG=Hydroacoustic Gulf of Alaska, HWC=Hydroacoustic West Coast, TAG=Denotes that no biological data exist for this cruise other than those related to tags released or recovered.","RACEBASE"
"17","CATCH","Valid Values: whole numbers, 0, and null.  This value is the total number of individuals of this species caught in the haul.","RACEBASE"
"18","CATCH_ORIG","Codebooks:  https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual","RACEBASE"
"19","CATCH_ORIG","Kilogram (kg).  This value is the extrapolated Weight, to nearest thousandth of a kg, for each species in the catch.  Collected in pounds in 1993 and prior years and has since been converted to kg","RACEBASE"
"20","CATCH_ORIG","Reference number given to specimens that are collected and preserved for taxonomic identification purposes.  These are assigned sequentially beginning with 1 and re-initiated for each haul","RACEBASE"
"21","CATCH_ORIG","This is a six-digit number identifying the Cruise number of the form: YYYY99 (where YYYY = year of the cruise; 99 = 2-digit number and is sequential; 01 denotes the first cruise that vessel made in this year, 02 is the second, etc.","RACEBASE"
"22","CATCH_ORIG","This is a unique identifier for each record in the base table, to be used in corresponding audit tables to identify the original record in the base table","RACEBASE"
"23","CATCH_ORIG","This is a unique numeric identifier assigned to each (VESSEL, CRUISE, HAUL) combination","RACEBASE"
"24","CATCH_ORIG","This is a unique numeric identifier assigned to each (VESSEL, CRUISE, HAUL, SPECIES_CODE) combination","RACEBASE"
"25","CATCH_ORIG","This is a unique numeric identifier assigned to each VESSEL, CRUISE) combination","RACEBASE"
"26","CATCH_ORIG","This number uniquely identifies a haul within a cruise.  It is a sequential number, in chronological order of occurrence.","RACEBASE"
"27","CATCH_ORIG","Unused attribute","RACEBASE"
"28","CATCH_ORIG","Valid Values: AI=Aleutian Islands, BS=Bering Sea, GOA=Gulf of Alaska, WC=West Coast,HBS=Hydroacoustic Bering Sea, HG=Hydroacoustic Gulf of Alaska, HWC=Hydroacoustic West Coast, TAG=Denotes that no biological data exist for this cruise other than those related to tags released or recovered.","RACEBASE"
"29","CATCH_ORIG","Valid Values: whole numbers, 0, and null.  This value is the extrapolated total number of individuals of this species caught in the haul.","RACEBASE"
"30","CRUISE","Date.  This is the date of the first haul of the cruise; this field is populated using a query - select min (start_time)from racebase.haul","RACEBASE"
"31","CRUISE","Date.  This is the date of the last haul of the cruise; this field is populated value using a query - select max (start_time) from a racebase.haul","RACEBASE"
"32","CRUISE","Domain: Groundfish Survey Codebook: Vessel Codes
http://www.afsc.noaa.gov/RACE/groundfish/Groundfish_Survey_Codes.pdf","RACEBASE"
"33","CRUISE","Latitude in decimal degrees.  These are the northern bounding coordinates of the cruise.","RACEBASE"
"34","CRUISE","Latitude in decimal degrees.  These are the southern bounding coordinates of cruise.","RACEBASE"
"35","CRUISE","Longitude in decimal degrees.  These are the eastern bounding coordinates of cruise.","RACEBASE"
"36","CRUISE","Longitude in decimal degrees.  These are the western bounding coordinates of cruise.","RACEBASE"
"37","CRUISE","Text. Description of the survey.","RACEBASE"
"38","CRUISE","Text. Name of country or countries that conducted the cruise","RACEBASE"
"39","CRUISE","This is a six-digit number identifying the Cruise number of the form: YYYY99 (where YYYY = year of the cruise; 99 = 2-digit number and is sequential; 01 denotes the first cruise that vessel made in this year, 02 is the second, etc.","RACEBASE"
"40","CRUISE","This is a unique identifier for each record in the base table, to be used in corresponding audit tables to identify the original record in the base table","RACEBASE"
