"","TABLE_NAME","COMMENTS","schema"
"1","EDIT_INTERVAL_CHECK",NA,"RACEBASE_DEV"
"2","FMP_SPECIES_LIST",NA,"RACEBASE_DEV"
"3","TEST_BCD",NA,"RACEBASE_DEV"
"4","TEST_BCH",NA,"RACEBASE_DEV"
"5","TEST_BENTHICBAG",NA,"RACEBASE_DEV"
"6","TEST_BTD",NA,"RACEBASE_DEV"
"7","TEST_BTH",NA,"RACEBASE_DEV"
"8","TEST_CATCH",NA,"RACEBASE_DEV"
"9","TEST_CATCHHDR",NA,"RACEBASE_DEV"
"10","TEST_GPS",NA,"RACEBASE_DEV"
"11","TEST_HAUL",NA,"RACEBASE_DEV"
"12","TEST_HPM",NA,"RACEBASE_DEV"
"13","TEST_MIXTURE",NA,"RACEBASE_DEV"
"14","TEST_MIXTUREHDR",NA,"RACEBASE_DEV"
"15","TEST_RAWLENGTH",NA,"RACEBASE_DEV"
"16","TEST_SGP",NA,"RACEBASE_DEV"
"17","TEST_SGT",NA,"RACEBASE_DEV"
"18","TEST_SPECIMEN",NA,"RACEBASE_DEV"
"19","V_SOCRATAS_EVENTS",NA,"RACEBASE_DEV"
"20","V_SOCRATAS_POSITIONS_E",NA,"RACEBASE_DEV"
"21","LOAD_USER_DATA_TABLES","A  global temporary table that is employed in the automated process of moving raw survey cruise data from individual Oracle user tables, into a set of centralized ""LOAD"" data tables, owned by schema RACE_DATA. This table is used by an Oracle data form. It is populated by Oracle package procedure RACEBASE_DEV.RACE_USER_EDIT_UTILS.POPULATE_USER_LOAD_LIST(). This table is populated with a list of the candidate ""source"" data tables found on the individual Oracle user account. A candidate table is one for which a recognized data type suffix is part of the table name, and for which a corresponding ""load template"", associated with the recognized data type suffix, can be found that exactly matches the table structure. Once this list is built (represented by records in this table), the Oracle form can query this table for the user, and the user can update the records in this table to verify which data tables are to be selected for the actual migration/load process.","RACE_DATA"
"22","V_CRUISES",NA,"RACE_DATA"
"23","V_CRUISE_LEGS",NA,"RACE_DATA"
"24","AI04CATCHNEWSPECIES","Legacy table without metadata","RACEBASE"
"25","AI06CATCHNEWSPECIES","legacy table without metadata","RACEBASE"
"26","AK2011CATCHMERGED","legacy table without metadata","RACEBASE"
"27","AK2011LENGTHMERGED","legacy table without metadata","RACEBASE"
"28","ALD2011CATCHMERGED","legacy table without metadata","RACEBASE"
"29","ALD2011LENGTHMERGED","legacy table without metadata","RACEBASE"
"30","ARC05NEWSPECIES","legacy tables without metadata","RACEBASE"
"31","ARCCRABCATCH","legacy tables without metadata","RACEBASE"
"32","ARCCRABHAUL","legacy tables without metadata","RACEBASE"
"33","ARCCRABSPECIMEN","legacy tables without metadata","RACEBASE"
"34","BOOBOO",NA,"RACEBASE"
"35","BS05CATCHMERGED",NA,"RACEBASE"
"36","BS05LENGTHMERGED",NA,"RACEBASE"
"37","BS06CATCHNEWSPECIES",NA,"RACEBASE"
"38","BS2000HAUL",NA,"RACEBASE"
"39","BS2001HAUL",NA,"RACEBASE"
"40","BS2001HAULTOTALDF2",NA,"RACEBASE"
"41","BS2002HAUL",NA,"RACEBASE"
